image_path,real_class,predicted_class,prob_benign,prob_malign
image_001.jpg,malign,malign,0.0314291856867343,0.968570814313266
image_002.jpg,benign,benign,0.63641041126378,0.36358958873622
image_003.jpg,malign,malign,0.314355981076327,0.685644018923673
image_004.jpg,benign,benign,0.508570691164703,0.491429308835297
image_005.jpg,benign,benign,0.907566473926093,0.092433526073907
image_006.jpg,malign,malign,0.249292229148875,0.750707770851125
image_007.jpg,malign,malign,0.41038292303563,0.58961707696437
image_008.jpg,benign,benign,0.755551138543049,0.244448861456951
image_009.jpg,malign,malign,0.228798165491622,0.771201834508378
image_010.jpg,malign,malign,0.076979909828793,0.923020090171207
image_011.jpg,malign,malign,0.289751452913768,0.710248547086232
image_012.jpg,malign,malign,0.161221287254004,0.838778712745996
image_013.jpg,benign,benign,0.929697652342573,0.0703023476574269
image_014.jpg,benign,benign,0.808120379564417,0.191879620435583
image_015.jpg,benign,benign,0.633403756510424,0.366596243489577
image_016.jpg,benign,benign,0.871460590187718,0.128539409812282
image_017.jpg,benign,benign,0.803672076899115,0.196327923100886
image_018.jpg,malign,malign,0.186570058886036,0.813429941113964
image_019.jpg,benign,benign,0.892558998489978,0.107441001510022
image_020.jpg,benign,benign,0.539342241915651,0.460657758084349
image_021.jpg,malign,benign,0.807440155164063,0.192559844835937
image_022.jpg,benign,benign,0.896091299923493,0.103908700076507
image_023.jpg,malign,malign,0.318003474971864,0.681996525028136
image_024.jpg,malign,malign,0.110051924527677,0.889948075472323
image_025.jpg,malign,malign,0.227935162541942,0.772064837458058
image_026.jpg,malign,malign,0.427107788626256,0.572892211373744
image_027.jpg,malign,benign,0.818014765922493,0.181985234077507
image_028.jpg,malign,benign,0.860730583256343,0.139269416743657
image_029.jpg,malign,malign,0.0069521305311907,0.993047869468809
image_030.jpg,benign,benign,0.510747302577566,0.489252697422434
image_031.jpg,malign,malign,0.417411003148779,0.582588996851221
image_032.jpg,malign,malign,0.22210781047073,0.77789218952927
image_033.jpg,malign,malign,0.119865367333683,0.880134632666317
image_034.jpg,malign,malign,0.337615171403628,0.662384828596372
image_035.jpg,benign,benign,0.942909703912519,0.0570902960874808
image_036.jpg,malign,malign,0.323202932020755,0.676797067979245
image_037.jpg,benign,benign,0.518790621743366,0.481209378256634
image_038.jpg,benign,benign,0.703018958895178,0.296981041104822
image_039.jpg,malign,malign,0.363629602379294,0.636370397620706
image_040.jpg,benign,benign,0.971782082720961,0.0282179172790393
image_041.jpg,benign,benign,0.962447294942111,0.0375527050578888
image_042.jpg,benign,malign,0.251782295825364,0.748217704174636
image_043.jpg,malign,malign,0.497248505892385,0.502751494107615
image_044.jpg,malign,malign,0.30087830981677,0.69912169018323
image_045.jpg,malign,malign,0.284840494377468,0.715159505622532
image_046.jpg,malign,malign,0.0368869473545328,0.963113052645467
image_047.jpg,malign,benign,0.609564333979897,0.390435666020103
